id,ts,market_id,market_title,mode,side,contracts,entry_price_cents,trade_amount_dollars,confidence_score,model_prob,implied_prob,btc_price_at_entry,strike,seconds_left_at_entry,fill_confirmed,exit_price_cents,exit_reason,outcome,pnl_dollars,profit_percent,order_id,asset,raw_p_yes,entry_signals,calibrated_p_yes,signal_name,strategy_variant,strategy_version,brain
2553,2026-06-06T18:57:51Z,KXETH15M-26JUN061500-00,KXETH15M-26JUN061500-00,paper,no,72,33,23.76,50,0.5,0.33,1556.005,1556.22,129,1,100,expiry,win,47.12,203.03,paper_1780772271078,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.16999999999999998, ""abs_pct"": 0.0001381552736759058}",,,strategy1,,s1
2552,2026-06-06T18:20:28Z,KXXRP15M-26JUN061430-30,KXXRP15M-26JUN061430-30,paper,no,61,39,23.79,50,0.5,0.39,1.08045,1.0802,571,1,0,expiry,loss,-24.81,-100.0,paper_1780770028452,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.10999999999999999, ""abs_pct"": 0.00046287724495458704}",,,strategy1,,s1
2551,2026-06-06T18:10:27Z,KXETH15M-26JUN061415-15,KXETH15M-26JUN061415-15,paper,no,61,39,23.79,53,0.5382222361068418,0.39,1551.905,1552.82,272,1,100,expiry,win,36.19,156.41,paper_1780769427416,ETH,0.46177776389315817,"{""win_prob"": 0.5382222361068418, ""ev"": 0.07177776389315815, ""abs_pct"": 0.0005892505248515369}",,,strategy1,,s1
2550,2026-06-06T18:04:58Z,KXSOL15M-26JUN061415-15,KXSOL15M-26JUN061415-15,paper,no,61,39,23.79,50,0.5,0.39,61.59,61.5983,601,1,100,expiry,win,36.19,156.41,paper_1780769098758,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.10999999999999999, ""abs_pct"": 0.00013474397832405146}",,,strategy1,,s1
2549,2026-06-06T17:21:33Z,KXSOL15M-26JUN061330-30,KXSOL15M-26JUN061330-30,paper,no,59,40,23.6,50,0.5,0.4,61.915,61.9235,506,1,100,expiry,win,34.4,150.0,paper_1780766493392,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 0.0001372661429020962}",,,strategy1,,s1
2548,2026-06-06T17:13:16Z,KXETH15M-26JUN061315-15,KXETH15M-26JUN061315-15,paper,no,72,38,23.76,50,0.5,0.38,1561.305,1562.06,104,1,100,expiry,win,43.45,163.16,paper_1780765996020,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.16999999999999998, ""abs_pct"": 0.00048333610744778164}",,,strategy1,,s1
2547,2026-06-06T16:43:09Z,KXXRP15M-26JUN061245-45,KXXRP15M-26JUN061245-45,paper,no,59,40,23.6,50,0.5,0.4,1.09075,1.0909,110,1,0,expiry,loss,-24.6,-100.0,paper_1780764189613,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 0.0001375011458427651}",,,strategy1,,s1
2546,2026-06-06T16:37:39Z,KXETH15M-26JUN061245-45,KXETH15M-26JUN061245-45,paper,no,63,38,23.94,50,0.5,0.38,1555.815,1555.93,440,1,0,expiry,loss,-24.98,-100.0,paper_1780763859873,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.12, ""abs_pct"": 7.391078004795145e-05}",,,strategy1,,s1
2545,2026-06-06T16:33:26Z,KXSOL15M-26JUN061245-45,KXSOL15M-26JUN061245-45,paper,no,57,42,23.94,50,0.5,0.42,61.56,61.5612,693,1,0,expiry,loss,-24.92,-100.0,paper_1780763606880,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 1.9492797411311074e-05}",,,strategy1,,s1
2544,2026-06-06T16:03:10Z,KXETH15M-26JUN061215-15,KXETH15M-26JUN061215-15,paper,no,59,40,23.6,50,0.5,0.4,1560.495,1560.56,709,1,0,expiry,loss,-24.6,-100.0,paper_1780761790492,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 4.165171476909223e-05}",,,strategy1,,s1
2543,2026-06-06T15:25:54Z,KXXRP15M-26JUN061130-30,KXXRP15M-26JUN061130-30,paper,no,74,32,23.68,50,0.5,0.32,1.0908,1.0911,245,1,0,expiry,loss,-24.81,-100.0,paper_1780759554462,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.18, ""abs_pct"": 0.00027495188342037115}",,,strategy1,,s1
2542,2026-06-06T14:53:06Z,KXETH15M-26JUN061100-00,KXETH15M-26JUN061100-00,paper,yes,55,43,23.65,53,0.5350467556205591,0.43,1563.99,1562.95,413,1,0,expiry,loss,-24.6,-100.0,paper_1780757586642,ETH,0.5350467556205591,"{""win_prob"": 0.5350467556205591, ""ev"": 0.10504675562055915, ""abs_pct"": 0.0006654083623916079}",,,strategy1,,s1
2541,2026-06-06T13:36:42Z,KXXRP15M-26JUN060945-45,KXXRP15M-26JUN060945-45,paper,yes,64,37,23.68,51,0.5168820628698343,0.37,1.09535,1.0948,498,1,100,expiry,win,39.27,170.27,paper_1780753002129,XRP,0.5168820628698343,"{""win_prob"": 0.5168820628698343, ""ev"": 0.1468820628698343, ""abs_pct"": 0.0005023748629887199}",,,strategy1,,s1
2540,2026-06-06T13:20:49Z,KXETH15M-26JUN060930-30,KXETH15M-26JUN060930-30,paper,no,59,40,23.6,50,0.5,0.4,1567.51,1567.63,551,1,100,expiry,win,34.4,150.0,paper_1780752049181,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 7.654867538903837e-05}",,,strategy1,,s1
2539,2026-06-06T12:43:06Z,KXXRP15M-26JUN060845-45,KXXRP15M-26JUN060845-45,paper,no,85,28,23.8,50,0.5,0.28,1.08255,1.083,113,1,0,expiry,loss,-25.0,-100.0,paper_1780749786430,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.21999999999999997, ""abs_pct"": 0.000415512465374018}",,,strategy1,,s1
2538,2026-06-06T12:12:39Z,KXXRP15M-26JUN060815-15,KXXRP15M-26JUN060815-15,paper,no,55,43,23.65,50,0.5,0.43,1.08685,1.087,141,1,0,expiry,loss,-24.6,-100.0,paper_1780747959251,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.07, ""abs_pct"": 0.00013799448022067383}",,,strategy1,,s1
2537,2026-06-06T11:34:23Z,KXETH15M-26JUN060745-45,KXETH15M-26JUN060745-45,paper,no,57,42,23.94,50,0.5,0.42,1563.005,1563.26,637,1,100,expiry,win,32.08,138.1,paper_1780745663091,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 0.00016312065811181875}",,,strategy1,,s1
2536,2026-06-06T01:54:35Z,KXETH15M-26JUN052200-00,KXETH15M-26JUN052200-00,paper,no,63,38,23.94,50,0.5,0.38,1583.765,1584.02,324,1,100,expiry,win,38.02,163.16,paper_1780710875951,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.12, ""abs_pct"": 0.00016098281587346232}",,,strategy1,,s1
2535,2026-06-06T01:49:17Z,KXSOL15M-26JUN052200-00,KXSOL15M-26JUN052200-00,paper,no,55,43,23.65,50,0.5,0.43,64.06,64.0452,642,1,100,expiry,win,30.4,132.56,paper_1780710557401,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.07, ""abs_pct"": 3.1227945262475325e-06}",,,strategy1,,s1
2534,2026-06-06T01:11:24Z,KXSOL15M-26JUN052115-15,KXSOL15M-26JUN052115-15,paper,no,74,32,23.68,50,0.5,0.32,64.65,64.6672,215,1,100,expiry,win,49.19,212.5,paper_1780708284868,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.18, ""abs_pct"": 0.00026597718781682734}",,,strategy1,,s1
2533,2026-06-06T01:10:51Z,KXXRP15M-26JUN052115-15,KXXRP15M-26JUN052115-15,paper,no,58,41,23.78,50,0.5,0.41,1.11075,1.1109,248,1,100,expiry,win,33.23,143.9,paper_1780708251982,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.09000000000000002, ""abs_pct"": 0.00013502565487451122}",,,strategy1,,s1
2532,2026-06-06T01:08:27Z,KXETH15M-26JUN052115-15,KXETH15M-26JUN052115-15,paper,no,57,42,23.94,50,0.5,0.42,1592.255,1592.86,392,1,100,expiry,win,32.08,138.1,paper_1780708107466,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 0.0003798199465111754}",,,strategy1,,s1
2531,2026-06-06T00:51:11Z,KXETH15M-26JUN052100-00,KXETH15M-26JUN052100-00,paper,no,61,39,23.79,50,0.5,0.39,1593.125,1593.13,528,1,100,expiry,win,36.19,156.41,paper_1780707071990,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.10999999999999999, ""abs_pct"": 3.1384758306661345e-06}",,,strategy1,,s1
2530,2026-06-06T00:36:16Z,KXXRP15M-26JUN052045-45,KXXRP15M-26JUN052045-45,paper,no,57,42,23.94,50,0.5,0.42,1.1046,1.1047,524,1,0,expiry,loss,-24.92,-100.0,paper_1780706176043,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 9.05223137503295e-05}",,,strategy1,,s1
2529,2026-06-05T23:12:09Z,KXXRP15M-26JUN051915-15,KXXRP15M-26JUN051915-15,paper,no,57,42,23.94,50,0.5,0.42,1.10675,1.1069,170,1,0,expiry,loss,-24.92,-100.0,paper_1780701129693,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.08000000000000002, ""abs_pct"": 0.0003161983919053866}",,,strategy1,,s1
